,Question,correct,optA,optB,optC,optD,explanation,lang,source,usedFor,sectionType,cat_num,direction
0,In which State is the proposed Jewar Airport to be constructed?, C,Gujarat,Himachal Pradesh,Uttar Pradesh,Telangana,The Jewar Airport is a proposed airport to be constructed in Jewar in Gautam Budh Nagar district of Uttar Pradesh. The Yamuna Expressway Industrial Development Authority will be the implementing agency on behalf of the Uttar Pradesh State Government.,ENG,,,GK,1.1,
1,Who carried out the 217th spacewalk for International Space Station?, A,2 Russian cosmonauts,2 JAXA astronauts,2 NASA astronauts,2 Europe Space Angency's astronauts,"Two Russian space agency Roscosmos' cosmonauts have successfully carried out the 217th spacewalk for International Space Station's support, maintenance and upgrade. The spacewalk, fourth for 2019, was done by Expedition 59 Commander Oleg Kononenko and Flight Engineer Alexey Ovchinin and lasted six hours and one minute. ",ENG,,,GK,1.1,
2,Which State has introduced laser guns for traffic police to curb overspeeding?, C,Tamil Nadu,Uttar Pradesh,Gujarat,Maharashtra,The Gujarat government has decided to equip the traffic police with 'laser guns' for detection of over-speeding by vehicles. The state police's traffic branch has purchased 39 such high-tech guns at a cost of Rs.3.9 crore.,ENG,,,GK,1.1,
3,The laser gun devices is equipped to record speeds from ______ kilometre per hour., B,0-140,0-180 ,0-260 ,0-320,"The gun uses laser technology to detect the speed of a vehicle. It can record the speed of three vehicles simultaneously in a second, even if the vehicles are a km away. The device is equipped to record speeds from 0-320 kilometre per hour. ",ENG,,,GK,1.1,
4,Mississippi River flood becomes the longest-lasting in over __________, A,90 years,80 years,65 years,150 years,Mississippi River flood becomes the longest-lasting in over 90 years.,ENG,,,GK,1.1,
5,Former Flipkart Executive Sandeep Patil appointed as India Managing Director of _____________, A,True Caller,Instagram,Twitter,Facebook,Former Flipkart Executive Sandeep Patil appointed as India Managing Director of True Caller.,ENG,,,GK,1.1,
6,Air Chief Marshal ____________ received baton of Chairman COSC, A,B S Dhanoa ,Suresh Kanna,Dinesh Karthick,Naresh Iyer,Air Chief Marshal B S Dhanoa received baton of Chairman COSC.,ENG,,,GK,1.1,
7,IAF Golden Arrows ______ Squadron to be first Rafale combat aircraft unit, A,17,14,12,15,IAF Golden Arrows 17 Squadron to be first Rafale combat aircraft unit.,ENG,,,GK,1.1,
8,SC extends tenure of NCDRCs judicial member by _______________, A,one year,two year,third year,fourth year,SC extends tenure of NCDRCs judicial member by one year.,ENG,,,GK,1.1,
9,Who administered the oath of office of PM Narendra Modi?, A,President Ram Nath Kovind,CJI Ranjan Gogoi,MP Maneka Gandhi,Option A & B,"Narendra Modi, who was elected for a second term at the Centre, took oath as the Prime Minister at the Rashtrapati Bhavan on 30 May.
President Ram Nath Kovind administered the oath of office and secrecy at the function. ",ENG,,,GK,1.1,
