,Question,correct,optA,optB,optC,optD,explanation,lang,source,usedFor,sectionType,cat_num,direction
0,"For the first time in 92 years, 6 Indian-origin kids among _____ won the National Spelling Bee Contest", C,7,5,8,10,"For the first time in 92 years, 6 Indian-origin kids among 8 won the National Spelling Bee Contest.",ENG,,,GK,1.1,
1,Which of the following seaweed is posing threat to the to coral reef areas in Valai island in the Gulf of Mannar (GoM)?, C,Codium fragile ssp. fragile,Gracilaria vermiculophylla,Kappaphycus alvarezii,Undaria pinnatifida ,"The invasive Kappaphycus alvarezii seaweed, which smothers and kills coral reefs, has spread its wings to coral reef areas in Valai island in the Gulf of Mannar (GoM) and set to invade new coral colonies in the marine national park. Macrofaunal and fish density decreased when Kappaphycus cover increased.",ENG,,,GK,1.1,
2,Kappaphycus alvarezii is a/an _________ seaweed., D,inactive,passive,native,invasive,"The invasive Kappaphycus alvarezii seaweed, which smothers and kills coral reefs, has spread its wings to coral reef areas in Valai island in the Gulf of Mannar (GoM) and set to invade new coral colonies in the marine national park. Macrofaunal and fish density decreased when Kappaphycus cover increased.",ENG,,,GK,1.1,
3,ISRO signed agreement with ________ for crew selection and training for the Gaganyaan Mission., A,Indian Air Force,NASA,HAL,European Space Agency,"The Indian Air Force (IAF) has signed an agreement with the Indian Space Research Organisation (ISRO) for crew selection and training for the prestigious Gaganyaan, the country's maiden manned mission. AVM RGK Kapoor, ACAS Ops (Space), IAF handed over the MoU to Shri R Hutton, Project Director of Gaganyaan Programme.",ENG,,,GK,1.1,
4,Which of the following is the Indian Human Spaceflight Programme?, B,ASTRO-1,Gaganyaan,Shukrayaan-1,Aditya,"Gaganyaan (""Sky Craft"") is an Indian crewed orbital spacecraft intended to be the basis of the Indian Human Spaceflight Programme. Gaganyaan was announced by Prime Minister Narendra Modi in 2018. The mission worth Rs. 10,000 crore. The Programme is aimed to be launched by December 2021. It was approved by the Union Cabinet in 2018.",ENG,,,GK,1.1,
5,Who is the youngest MP in the country and her debut in Parliament?, A,Chandrani Murmu,Nithya Raj,Vijaya suresh,Sakthi Raj,Chandrani Murmu is the youngest MP in the country and her debut in Parliament.,ENG,,,GK,1.1,
6,When is the World No Tobacco Day (WNTD) observed?, C,April 30,May 2,May 31,June 1,World No Tobacco Day (WNTD) is observed around the world every year on 31 May. Every year the World Health Organization (WHO) and global partners celebrate World No Tobacco Day (WNTD).,ENG,,,GK,1.1,
7,What is the theme of World No Tobacco Day (WNTD)?, A,Tobacco and lung health,"Tobacco Breaks Hearts: Choose health, not tobacco' #NoTobacco",a threat to development,"Cancer Is No Joke, So Put Down That Smoke.","World No Tobacco Day (WNTD) is observed around the world every year on 31 May. In 2019, WNTD focused on its theme on 'Tobacco and lung health'. The negative impact that tobacco has on people’s lung health, from cancer to chronic respiratory disease.",ENG,,,GK,1.1,
8,When is the World Milk Day observed?, D,May 15,May 28,May 31,June 1,World Milk Day is a day established by the Food and Agriculture Organization (FAO) of the United Nations to recognize the importance of milk as a global food. It has been observed on June 1 each year since 2001. ,ENG,,,GK,1.1,
9,Who established the World Milk Day?, C,World Health Organisation (WHO),United Nations (UN),Food and Agriculture Organization (FAO),World Food Programme,World Milk Day is a day established by the Food and Agriculture Organization (FAO) of the United Nations to recognize the importance of milk as a global food. It has been observed on June 1 each year since 2001. The day is intended to provide an opportunity to bring attention to activities that are connected with the dairy sector.,ENG,,,GK,1.1,
